Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
CM24-4/50%-150M;COLONNE MONTANTE 24FO PRÉCONNECTÉE À 50% - 150M;Xeilom;;Fibre Optique;623,9970144;CM24-4/50%-150M;CM24-4/50%-150M;;;;;;;;;;
CM24-4/50%-50M;COLONNE MONTANTE 24FO PRECONNECTÉE À 50% - 50M;Xeilom;;Fibre Optique;308,5704632;CM24-4/50%-50M;CM24-4/50%-50M;;;;;;;;;;
CM48-4/50%-100M;COLONNE MONTANTE 48FO PRÉCONNECTÉE À 50% - 100M;Xeilom;;Fibre Optique;598,6266985;CM48-4/50%-100M;CM48-4/50%-100M;;;;;;;;;;
CM48-4/50%-10M;COLONNE MONTANTE 48FO PRÉCONNECTÉE À 50% - 10M;Xeilom;;Fibre Optique;459,7894737;CM48-4/50%-10M;CM48-4/50%-10M;;;;;;;;;;
CM48-4/50%-150M;COLONNE MONTANTE 48FO PRÉCONNECTÉE À 50% - 150M;Xeilom;;Fibre Optique;766,9706411;CM48-4/50%-150M;CM48-4/50%-150M;;;;;;;;;;
CM48-4/50%-50M;COLONNE MONTANTE 48FO PRÉCONNECTÉE À 50% - 50M;Xeilom;;Fibre Optique;431,9986484;CM48-4/50%-50M;CM48-4/50%-50M;;;;;;;;;;
CM72-4/50%-100M;COLONNE MONTANTE 72FO PRÉCONNECTÉE À 50% - 100M;Xeilom;;Fibre Optique;883,1510813;CM72-4/50%-100M;CM72-4/50%-100M;;;;;;;;;;
CM72-4/50%-150M;COLONNE MONTANTE 72FO PRÉCONNECTÉE À 50% - 150M;Xeilom;;Fibre Optique;1042,259139;CM72-4/50%-150M;CM72-4/50%-150M;;;;;;;;;;
CM72-4/50%-50M;COLONNE MONTANTE 72FO PRÉCONNECTÉE À 50% - 50M;Xeilom;;Fibre Optique;555,4268337;CM72-4/50%-50M;CM72-4/50%-50M;;;;;;;;;;
CM96-4/50%-100M;COLONNE MONTANTE 96FO PRÉCONNECTÉE À 50% - 100M;Xeilom;;Fibre Optique;952,8300861;CM96-4/50%-100M;CM96-4/50%-100M;;;;;;;;;;
CM96-4/50%-10M;COLONNE MONTANTE 96FO PRÉCONNECTÉE À 50% - 10M;Xeilom;;Fibre Optique;481,3699225;CM96-4/50%-10M;CM96-4/50%-10M;;;;;;;;;;
CM96-4/50%-150M;COLONNE MONTANTE 96FO PRÉCONNECTÉE À 50% - 150M;Xeilom;;Fibre Optique;1209,596216;CM96-4/50%-150M;CM96-4/50%-150M;;;;;;;;;;
CM96-4/50%-50M;COLONNE MONTANTE 96FO PRÉCONNECTÉE À 50% - 50M;Xeilom;;Fibre Optique;617,1409263;CM96-4/50%-50M;CM96-4/50%-50M;;;;;;;;;;
CORD6ASF01JMSH;CORD RJ45 S/FTP CAT6A JAUN 1M;RAVATE ELEC;CAE Groupe;Fibre Optique;2,15;CORD6ASF01JMSH;CORD6ASF01JMSH;;;;;;;;;;
CORD6ASF10MSH;CORDON CAT6A S/FTP RLX10M;RAVATE ELEC;;Fibre Optique;12;CORD6ASF10MSH;CORD6ASF10MSH;;Cordon de 10m;;;;;;;;
CVGA10MM;Cordon SVGA 10m M/M;ATECH;;Fibre optique;13,52;CVGA10MM;CVGA10MM;;;;;;;;;;
CVGA15MM;Cordon SVGA 15m Mâle/Mâle;ATECH;;Fibre optique;16,41;CVGA15MM;CVGA15MM;;;;;;;;;;
ELB942545-S0;Connecteur mâle RJ45 Cat6 blindé, métal, câble souple et rigide;ATECH;;Fibre optique;4,16;ELB942545-S0;ELB942545-S0;;;;;;;;;;
ER-10;Paire d'electrode de rechange pour soudeuse Sumitomo(T-71c T-55 et T-39 T-25e);Atech;SUMITOMO;Fibre Optique;;ER-10;ER-10;;;;;;;;;;
ER-11;Paire d'electrode de rechange pour soudeuse Sumitomo(T-201 Sumitomo:3000);Atech;SUMITOMO;Fibre Optique;;ER-11;ER-11;;;;;;;;;;
FBEE;Fourniture Boitier d'épissure étanche;Syritec;;Fibre Optique;120,7;FBEE;FBEE;;;;;;;;;;
FO103-S;Pince Miller Stripper /Infractive;Atech;;Fibre Optique;;FO103-S;FO103-S;;;;;;;;;;
FOPC30;PTO 1FO SC/APC préco G657 30m;ATECH;;Fibre Optique;28,36;FOPC30;FOPC30;;;;;;;;;;
FOPC40;PTO 1FO SC/APC préco G657 40m;ATECH;;Fibre optique;33,29;FOPC40;FOPC40;;;;0,94;Colis;;;;;
FOPC90;PTO 1FO SC/APC préco G657 90m;ATECH;;Fibre optique;42,4;FOPC90;FOPC90;;;;;;;;;;
FSA75;Essuyeur lingettes pré-saturées lot de 75/Infractive;Atech;INFRACTIVE;Fibre Optique;;FSA75;FSA75;;;;;;;;;;
FSMOOV;Fourniture smoove;Syritec;;Fibre Optique;12;FSMOOV;FSMOOV;;;;;;;;;;
FTTH/24/6;CABLE DISTRI A MICRO MODULES FTTH 24 FO - MODULO 6;Xeilom;;Fibre Optique;2,006662352;FTTH/24/6;FTTH/24/6;;;;;;;;;;
FTTH/48/6;CABLE DISTRI A MICRO MODULES FTTH 48 FO - MODULO 6;Xeilom;;Fibre Optique;3,14296513;FTTH/48/6;FTTH/48/6;;;;;;;;;;
FTTH/72/6;FIBRE OPTIQUE 72 BRINS 9/125 G657 A2.  Modulo 6;Xeilom;;Fibre Optique;4,774889332;FTTH/72/6;FTTH/72/6;;;;;;;;;;
GAINEVERTE;Gaine verte fendue pour fibre optique rlx 30ml;Atech;;Fibre Optique;;GAINEVERTE;GAINEVERTE;;;;;;;;;;
GF008UNI06LUECA;Fibre optique 6 FO unitube renforcé monomode 9/ 125 OS2 LSZH Int/Ext;Comptoir du Cabling;;Fibre Optique;0,89;GF008UNI06LUECA;GF008UNI06LUECA;;;;;;;;;;
GF0M4UNI06LUECA;Fibre optique 6 FO unitube renforcé 50/ 125 OM4 LSZH Int/ Ext au mètre/ LEVITON GFOM4UNI06LU-ECA;Comptoir du Cabling;;Fibre Optique;2,5;GF0M4UNI06LUECA;GF0M4UNI06LUECA;;;;;;;;;;
HBPI144FO;Boitier Pied d'Immeuble (BPI) FTTH équipé 12 cassettes capacité 144 FO;Comptoir du Cabling;;Fibre Optique;136,08;HBPI144FO;HBPI144FO;;;;;;;;;;
HBPI48FO;Boitier Pied d'Immeuble (BPI) FTTH équipé 4 cassettes capacité 48 FO;Comptoir du Cabling;;Fibre Optique;107,28;HBPI48FO;HBPI48FO;;;;;;;;;;
HBPI96FO;Boitier Pied d'Immeuble (BPI) FTTH équipé 8 cassettes capacité 96 FO;Comptoir du Cabling;;Fibre Optique;121,68;HBPI96FO;HBPI96FO;;;;;;;;;;
HDMI10;Cordon HDMI Hight Speed avec Ethernet 10m;ATECH;;Fibre optique;13,4;HDMI10;HDMI10;;;;;;;;;;
HPBO48;Point de Branchement Optique (PBO) FTTH 48 FO équipé 4 cassettes bizone (2x6fo);Comptoir du Cabling;;Fibre Optique;49,95;HPBO48;HPBO48;;;;;;;;;;
